Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,62.36937451,62.44370346,60.95036382,82.02173758,85.51107341,105.2431957,143.1032332,167.1656746,134.0127683,134.2503596,162.6421754,166.2248313,141.3653223,149.7440685,181.598776,194.6690362,205.6740967,232.7786988,255.0456222,284.7555317,291.649791,311.853617,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,183.5327752,200.4623759,221.6576621,255.0551071,274.0006557,375.0782615,387.8492881,443.8451505,554.5947346,621.9124138,663.1410528,651.9878619,628.1468039,592.4761648,520.2519549,530.1498626,502.0570992,500.5229808,516.8667974,363.6740871,..
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.49,..,..,..,1.69,..,7.91,..,..,11.18,..,..,11.71,5.58,..
Afghanistan,AFG,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-205100000,-176800000,-337700000,-212700000,-263000000,-579800000,-407500000,-793800000,-486500000,-328400000,-466400000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1877652994,-1956521858,-3205300951,-4149500356,-7442378553,-8671425448,-6261263544,-7044964161,-6191463867,-6803560118,-6378166942,-5855061056,-5506547001,..,..
Afghanistan,AFG,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.53978409,55.48702296,55.43177862,55.33565541,55.18168216,54.94662027,54.65833233,54.37499688,54.09962714,53.83266142,53.5777064,53.33528295,53.10291867,52.87976658,52.66146153,52.45024712,52.24759145,52.05081632,51.86062917,51.67755513,51.502597,51.33698694,51.18520847,51.06466405,50.95689916,50.85054572,50.74146226,50.6349805,50.52647916,50.41321141,50.27893005,50.11098943,49.9245652,49.73340374,49.50781934,49.25417713,48.98505375,48.71189594,48.4451498,48.19916422,47.99693445,47.84920436,47.76754512,47.74465636,47.78131645,48.08510671,48.46694431,47.9988969,47.79192263,48.34519934,48.67757064,49.36175767,50.17552488,50.72909461,51.35930018,51.80207836,52.08004369,52.4815669,52.88446243,53.29089424,53.77513484,54.17139886,54.47502674
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3854235264,4539496563,5220825049,6226198935,6971383339,9715765105,10249770319,12154835708,15633843662,18190413832,20203572960,20564485419,20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,639.4847358,639.8659094,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869945,200.8522198,367.2792251,586.4161331,750.6044492,1009.977114,717.3800477,813.7893966,1033.242532,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787803,2972.743618,3595.038302,4370.539711,4114.134041,4094.349699,4437.141146,4247.631356,4413.063397,4578.633208,3952.803584,4124.05539,4531.032207,5287.660817,5396.214227,5343.037704,6377.203096,6802.804519
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.087569997,0.154119998,..,..,..,..,..,..,..,..,..,..,..,..,..,..
