Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.111111,548888895.555556,546666677.777778,751111191.111111,800000044.444444,1006666637.77778,1399999966.66667,1673333417.77778,1373333366.66667,1408888922.22222,1748886595.55556,1831108971.11111,1595555475.55556,1733333264.44444,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.61098,3641723321.99546,3478787909.09091,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3854235264.37171,4539496562.95373,5220825048.64637,6226198934.83329,6971383338.70803,9715765105.48016,10249770318.5697,12154835707.8987,15633843661.8051,18190413831.9037,20203572959.5023,20564485419.1684,20550582746.8448,19998143635.873,18019554403.4503,18896353155.8839,18418860354.4238,18904502222.2108,20143451705.7548,14583135236.5744,..
Afghanistan,AFG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.49,..,..,..,1.69,..,7.91,..,..,11.18,..,..,11.71,5.58,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.6862687216715,6.78459655001657,8.68057078513406,26.4186641547444,-6.81116108898995,2.1785375238942,11.8041858089129,6.44121280934118,7.38577178397857,4.67399603536339,-0.661709164713696,4.38389195513914,4.9759515055383,0.626149149168811,2.30237251516844,..,..,..
Afghanistan,AFG,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-135600000,-68600000,-206500000,-121300000,-162100000,-417000000,-293400000,-641800000,-365800000,-278000000,-371200000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-2415619185.69979,-2807137619.65958,-4252374204.21784,-5189770431.0797,-7515862139.77005,-8020277289.75686,-6106244879.7013,-6668317650.70879,-5594976211.59902,-5932251865.45208,-5745536582.88077,-5294355637.28527,-5100906449.09748,..,..
Afghanistan,AFG,"Population ages 15-64, total",SP.POP.1564.TO,4788899,4877387,4971702,5067343,5162530,5255725,5347305,5442953,5544011,5649463,5761195,5875339,5993595,6120994,6250852,6376579,6491903,6603844,6710175,6711038,6430939,5726741,5163712,5081674,5219865,5345522,5301692,5226926,5246397,5380687,5377229,5384510,6019621,6964546,7651708,8087000,8379675,8665271,8959026,9284531,9380032,9420854,10031307,10811839,11254197,11738147,12331417,12433299,12630067,13239481,13722048,14437898,15286716,16000570,16802817,17485014,18038552,18706224,19401609,20127704,20957369,21722439,22404909
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1857338011.85488,1897050133.42015,2097326250,2080796250,2051236250,2253090000,2028553750,1099559027.77778,652174990.837304,1185315468.46295,1880950857.78702,2392764853.42107,3199640825.62258,2258513974.0968,2545964540.88383,3212121650.97755,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052077209.3737,8896074996.35876,10677324872.8286,12881352878.2501,12044205572.4342,11926926654.0521,12890760272.5584,12319834233.2904,12776224537.2743,13228147516.1168,11386853143.152,11861199830.8396,13019726211.7369,15156424061.9815,15401826080.5183,15162734205.2462,17930565118.8176,18882095517.8768
Albania,ALB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.7569039092832,37.4810649631085,53.1078249689126,55.5657038623041,..,..,..,..,..,..,..,..,..,..,..,..,69.6376739165201,63.6691526405469,70.5807697920008,73.3202274771466,79.8644181475793,80.7355819675527,75.8887278169195,64.5703814218613,75.6984882494976,83.887494535694,82.3836112949451,..
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.087569996714592,0.154119998216629,..,..,..,..,..,..,..,..,..,..,..,..,..,..
