Country name,Region,Income group,Year,GDP per capita,GDP,R&D expenditure,Government debt,Unemployment,Trade balance,Ages 15-64 proportion,Population,HDI,Political stability,Rule of law,Voice and accountability
Afghanistan,South Asia,Low income,1960,62.36937451,537777811.1,NA,NA,NA,NA,55.53978409,8622466,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1961,62.44370346,548888895.6,NA,NA,NA,NA,55.48702296,8790140,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1962,60.95036382,546666677.8,NA,NA,NA,NA,55.43177862,8969047,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1963,82.02173758,751111191.1,NA,NA,NA,NA,55.33565541,9157465,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1964,85.51107341,800000044.4,NA,NA,NA,NA,55.18168216,9355514,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1965,105.2431957,1006666638,NA,NA,NA,NA,54.94662027,9565147,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1966,143.1032332,1399999967,NA,NA,NA,NA,54.65833233,9783147,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1967,167.1656746,1673333418,NA,NA,NA,NA,54.37499688,10010030,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1968,134.0127683,1373333367,NA,NA,NA,NA,54.09962714,10247780,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1969,134.2503596,1408888922,NA,NA,NA,NA,53.83266142,10494489,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1970,162.6421754,1748886596,NA,NA,NA,NA,53.5777064,10752971,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1971,166.2248313,1831108971,NA,NA,NA,NA,53.33528295,11015857,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1972,141.3653223,1595555476,NA,NA,NA,NA,53.10291867,11286753,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1973,149.7440685,1733333264,NA,NA,NA,NA,52.87976658,11575305,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1974,181.598776,2155555498,NA,NA,NA,NA,52.66146153,11869879,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1975,194.6690362,2366666616,NA,NA,NA,NA,52.45024712,12157386,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1976,205.6740967,2555555567,NA,NA,NA,NA,52.24759145,12425267,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1977,232.7786988,2953333418,NA,NA,NA,NA,52.05081632,12687301,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1978,255.0456222,3300000109,NA,NA,NA,NA,51.86062917,12938862,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1979,284.7555317,3697940410,NA,NA,NA,-205100000,51.67755513,12986369,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1980,291.649791,3641723322,NA,NA,NA,-176800000,51.502597,12486631,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1981,311.853617,3478787909,NA,NA,NA,-337700000,51.33698694,11155195,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1982,NA,NA,NA,NA,NA,-212700000,51.18520847,10088289,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1983,NA,NA,NA,NA,NA,-263000000,51.06466405,9951449,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1984,NA,NA,NA,NA,NA,-579800000,50.95689916,10243686,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1985,NA,NA,NA,NA,NA,-407500000,50.85054572,10512221,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1986,NA,NA,NA,NA,NA,-793800000,50.74146226,10448442,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1987,NA,NA,NA,NA,NA,-486500000,50.6349805,10322758,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1988,NA,NA,NA,NA,NA,-328400000,50.52647916,10383460,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1989,NA,NA,NA,NA,NA,-466400000,50.41321141,10673168,NA,NA,NA,NA
Afghanistan,South Asia,Low income,1990,NA,NA,NA,NA,NA,NA,50.27893005,10694796,0.273,NA,NA,NA
Afghanistan,South Asia,Low income,1991,NA,NA,NA,NA,NA,NA,50.11098943,10745167,0.279,NA,NA,NA
Afghanistan,South Asia,Low income,1992,NA,NA,NA,NA,NA,NA,49.9245652,12057433,0.287,NA,NA,NA
Afghanistan,South Asia,Low income,1993,NA,NA,NA,NA,NA,NA,49.73340374,14003760,0.297,NA,NA,NA
Afghanistan,South Asia,Low income,1994,NA,NA,NA,NA,NA,NA,49.50781934,15455555,0.292,NA,NA,NA
Afghanistan,South Asia,Low income,1995,NA,NA,NA,NA,NA,NA,49.25417713,16418912,0.31,NA,NA,NA
Afghanistan,South Asia,Low income,1996,NA,NA,NA,NA,NA,NA,48.98505375,17106595,0.319,-2.417309523,-1.788075447,-1.90854013
Afghanistan,South Asia,Low income,1997,NA,NA,NA,NA,NA,NA,48.71189594,17788819,0.323,NA,NA,NA
Afghanistan,South Asia,Low income,1998,NA,NA,NA,NA,NA,NA,48.4451498,18493132,0.324,-2.427354574,-1.734886765,-2.039301157
Afghanistan,South Asia,Low income,1999,NA,NA,NA,NA,NA,NA,48.19916422,19262847,0.332,NA,NA,NA
Afghanistan,South Asia,Low income,2000,NA,NA,NA,NA,NA,NA,47.99693445,19542982,0.335,-2.438968897,-1.780660748,-2.031417131
Afghanistan,South Asia,Low income,2001,NA,NA,NA,NA,NA,NA,47.84920436,19688632,0.337,NA,NA,NA
Afghanistan,South Asia,Low income,2002,183.5327752,3854235264,NA,NA,NA,NA,47.76754512,21000256,0.362,-2.035033703,-1.673473239,-1.433421016
Afghanistan,South Asia,Low income,2003,200.4623759,4539496563,NA,NA,NA,NA,47.74465636,22645130,0.376,-2.198372364,-1.5582937,-1.177571177
Afghanistan,South Asia,Low income,2004,221.6576621,5220825049,NA,NA,NA,NA,47.78131645,23553551,0.392,-2.295682192,-1.693925261,-1.203033924
Afghanistan,South Asia,Low income,2005,255.0551071,6226198935,NA,NA,NA,NA,48.08510671,24411191,0.4,-2.06750989,-1.662965536,-1.12542963
Afghanistan,South Asia,Low income,2006,274.0006557,6971383339,NA,NA,NA,NA,48.46694431,25442944,0.409,-2.219134569,-1.879004836,-1.110293984
Afghanistan,South Asia,Low income,2007,375.0782615,9715765105,NA,NA,NA,NA,47.9988969,25903301,0.424,-2.41337347,-1.852560043,-1.057653904
Afghanistan,South Asia,Low income,2008,387.8492881,10249770319,NA,NA,2.49,-1877652994,47.79192263,26427199,0.43,-2.69136095,-1.903307557,-1.168901801
Afghanistan,South Asia,Low income,2009,443.8451505,12154835708,NA,NA,NA,-1956521858,48.34519934,27385307,0.44,-2.71142149,-1.876118779,-1.375495195
Afghanistan,South Asia,Low income,2010,554.5947346,15633843662,NA,NA,NA,-3205300951,48.67757064,28189672,0.448,-2.579151869,-1.87005806,-1.404467344
Afghanistan,South Asia,Low income,2011,621.9124138,18190413832,NA,NA,NA,-4149500356,49.36175767,29249157,0.456,-2.502059698,-1.922500134,-1.335976958
Afghanistan,South Asia,Low income,2012,663.1410528,20203572960,NA,NA,1.69,-7442378553,50.17552488,30466479,0.466,-2.418561459,-1.651893139,-1.267430067
Afghanistan,South Asia,Low income,2013,651.9878619,20564485419,NA,NA,NA,-8671425448,50.72909461,31541209,0.474,-2.519349098,-1.609111547,-1.240068436
Afghanistan,South Asia,Low income,2014,628.1468039,20550582747,NA,NA,7.91,-6261263544,51.35930018,32716210,0.479,-2.411068439,-1.437044501,-1.135439992
Afghanistan,South Asia,Low income,2015,592.4761648,19998143636,NA,NA,NA,-7044964161,51.80207836,33753499,0.478,-2.56262517,-1.515202641,-1.117556691
Afghanistan,South Asia,Low income,2016,520.2519549,18019554403,NA,NA,NA,-6191463867,52.08004369,34636207,0.481,-2.662156105,-1.520713925,-1.037788033
Afghanistan,South Asia,Low income,2017,530.1498626,18896353156,NA,NA,11.18,-6803560118,52.4815669,35643418,0.482,-2.794973612,-1.583736897,-0.990814269
Afghanistan,South Asia,Low income,2018,502.0570992,18418860354,NA,NA,NA,-6378166942,52.88446243,36686784,0.483,-2.753262043,-1.688586712,-1.007052064
Afghanistan,South Asia,Low income,2019,500.5229808,18904502222,NA,NA,NA,-5855061056,53.29089424,37769499,0.488,-2.652406931,-1.741318822,-1.006574869
Afghanistan,South Asia,Low income,2020,516.8667974,20143451706,NA,NA,11.71,-5506547001,53.77513484,38972230,0.483,-2.702631712,-1.831374288,-1.077688575
